Jumlah,tanggal
1,20-10-2021
1,13-03-2023
1,19-06-2022
1,24-06-2022
1,08-09-2022
1,14-03-2023
1,15-02-2022
1,14-03-2023
2,24-10-2023
1,13-03-2023
2,24-10-2023
1,28-01-2023
1,08-09-2022
2,23-02-2023
1,02-11-2022
1,13-01-2022
1,22-10-2022
2,19-10-2023
1,28-05-2023
1,24-11-2021
2,13-03-2023
3,24-10-2023
1,15-12-2022
1,11-01-2023
2,24-09-2022
3,13-01-2023
3,08-12-2021
4,07-09-2022
5,10-11-2022
6,14-03-2023
7,21-09-2023
8,29-07-2020
9,27-09-2020
10,06-04-2021
11,12-07-2021
12,20-09-2021
13,21-11-2021
14,04-02-2022
6,14-01-2021
5,14-02-2020
4,10-09-2021
7,12-03-2020
3,07-01-2022
2,29-07-2020
3,01-03-2020
20,16-03-2020
21,27-11-2021
22,30-07-2022
23,12-07-2023
6,16-01-2022
5,25-02-2020
6,16-09-2020
7,30-11-2020
8,25-05-2021
9,08-02-2022
10,19-08-2022
11,18-11-2022
12,20-03-2023
13,26-06-2023
14,20-09-2023
1,12-10-2023
1,08-09-2022
1,29-05-2022
5,29-06-2020
3,20-10-2020
4,30-01-2021
10,26-05-2021
11,31-01-2022
12,09-01-2023
1,10-10-2023
1,27-07-2022
1,10-06-2021
1,14-06-2023
2,25-10-2023
1,28-12-2020
1,24-06-2022
1,19-05-2022
1,01-11-2022
2,13-03-2023
3,29-02-2020
4,30-04-2020
5,30-06-2020
6,08-10-2020
7,07-12-2020
8,20-02-2021
9,11-05-2021
10,10-07-2021
11,19-09-2021
12,03-12-2021
13,06-03-2022
14,14-05-2022
14,24-07-2022
15,29-07-2022
16,16-10-2022
17,23-12-2022
18,21-02-2023
19,30-04-2023
20,10-07-2023
21,11-09-2023
1,13-01-2022
1,07-02-2022
1,01-01-2023
1,26-08-2023
5,29-01-2021
6,15-09-2021
7,25-05-2022
8,21-08-2022
9,22-10-2022
10,22-02-2023
1,03-04-2021
1,07-08-2021
2,09-12-2021
1,20-09-2021
1,06-09-2022
1,06-09-2022
1,12-02-2022
80,31-01-2020
81,09-07-2020
82,18-09-2020
83,20-11-2020
84,25-01-2021
85,29-03-2021
86,05-06-2021
87,20-08-2021
88,03-12-2021
89,01-03-2022
90,13-05-2022
91,21-07-2022
92,26-07-2023
1,03-08-2022
1,27-10-2022
1,30-03-2022
2,13-03-2023
1,22-03-2022
1,22-09-2022
1,01-11-2022
2,13-03-2023
1,29-08-2023
2,08-09-2022
1,08-06-2021
13,29-06-2020
1,27-05-2022
21,24-03-2020
22,25-05-2020
23,24-08-2020
24,23-10-2020
25,28-12-2020
26,22-05-2021
27,14-05-2022
28,26-08-2022
29,26-10-2022
30,22-01-2023
31,09-04-2023
1,16-02-2023
19,27-02-2020
1,19-02-2021
1,09-03-2023
1,07-06-2023
1,17-01-2022
2,22-04-2022
3,16-08-2022
1,19-02-2021
2,20-09-2021
1,28-03-2022
2,27-09-2022
3,13-05-2023
4,27-09-2023
1,13-03-2023
2,30-05-2023
1,22-02-2023
1,14-02-2022
1,15-10-2020
12,17-02-2020
13,14-09-2020
14,18-12-2022
1,29-08-2023
2,29-12-2021
1,06-09-2022
1,22-02-2023
2,06-06-2023
1,24-02-2022
4,24-06-2022
27,29-02-2020
28,02-05-2020
29,10-07-2020
30,25-09-2020
31,27-11-2020
32,29-01-2021
33,05-05-2021
34,04-07-2021
35,16-09-2021
36,25-12-2021
37,23-02-2022
38,24-04-2022
39,29-06-2022
40,03-11-2022
41,11-05-2023
42,22-09-2023
1,04-03-2020
1,14-03-2023
1,28-02-2023
2,03-05-2023
3,28-08-2023
1,11-09-2021
1,04-05-2021
2,16-10-2021
1,22-02-2023
1,03-08-2022
10,08-01-2021
11,19-03-2021
12,11-06-2021
13,04-10-2021
14,13-01-2022
15,15-03-2022
16,02-06-2022
17,16-08-2022
18,18-10-2022
19,23-12-2022
20,10-05-2023
1,04-01-2020
2,10-09-2022
1,08-06-2021
1,28-09-2022
1,17-11-2022
4,28-05-2020
1,13-03-2023
1,19-10-2022
1,15-10-2020
2,26-02-2020
3,16-07-2022
4,20-09-2022
5,16-12-2022
6,31-03-2023
7,31-05-2023
1,19-06-2022
1,04-04-2020
2,16-06-2020
3,09-11-2022
4,12-01-2023
5,01-08-2023
6,03-10-2023
3,08-09-2020
4,04-06-2023
2,22-03-2022
3,26-03-2020
1,19-02-2021
1,15-10-2020
1,19-04-2021
1,24-06-2022
1,06-09-2022
2,16-02-2023
3,29-08-2023
1,27-09-2022
1,16-02-2023
1,29-03-2023
1,09-05-2023
1,29-08-2023
1,29-08-2023
1,17-09-2023
1,13-06-2023
1,07-09-2022
1,07-05-2023
1,23-01-2021
1,12-06-2022
1,12-09-2021
1,16-02-2023
1,26-02-2022
1,15-08-2023
1,19-02-2021
2,20-09-2021
1,17-08-2022
2,24-10-2023
1,08-10-2020
1,14-03-2023
2,29-05-2023
3,25-02-2023
4,11-06-2023
5,04-10-2023
1,06-09-2022
2,16-02-2023
1,14-06-2021
4,26-09-2022
1,20-06-2022
2,06-09-2022
7,15-06-2020
8,31-08-2020
9,31-12-2020
10,16-12-2021
11,24-07-2023
12,13-10-2023
3,19-05-2021
1,09-03-2022
2,21-07-2022
2,29-04-2022
1,27-07-2022
1,21-05-2023
2,13-04-2020
1,16-02-2023
1,06-02-2022
1,13-06-2020
9,24-05-2022
10,22-01-2023
1,25-01-2022
11,18-01-2020
12,20-11-2020
13,09-04-2021
13,14-12-2021
14,09-02-2022
14,05-05-2022
15,12-06-2022
16,16-05-2023
17,12-09-2023
2,28-07-2021
17,26-02-2020
18,29-04-2020
19,29-06-2020
20,29-08-2020
21,28-01-2021
22,23-03-2022
23,30-05-2022
24,15-08-2022
25,28-10-2022
